WordID,TestID,TestName,Word,LanguageCode,WordPhonetic,Description,Image
424,21,KaluKalam-W1,pesen kädet,fi,,washing hands,
425,21,KaluKalam-W1,ruokala,fi,,canteen,
426,21,KaluKalam-W1,ota tarjotin,fi,,take a tray,
427,21,KaluKalam-W1,ota lautanen,fi,,take a plate,
428,21,KaluKalam-W1,ota lasi,fi,,take a glass,
429,21,KaluKalam-W1,ota veitsi,fi,,take a knife,
430,21,KaluKalam-W1,ota haarukka,fi,,take a fork,
431,21,KaluKalam-W1,ota lusikka,fi,,take a spoon,
432,21,KaluKalam-W1,opettaja,fi,,teacher,
433,21,KaluKalam-W1,oppilas,fi,,pupil,
434,22,KaluKalam-W2,tämä on kirja,fi,,this is a book,
435,22,KaluKalam-W2,ota kirja,fi,,take a book,
436,22,KaluKalam-W2,ava kirja,fi,,open a book,
437,22,KaluKalam-W2,katso,fi,,watch,
438,22,KaluKalam-W2,minä katson,fi,,i'm watching,
439,22,KaluKalam-W2,kuuntele,fi,,hear,
440,22,KaluKalam-W2,minä kuuntelen,fi,,i'm listening,
441,22,KaluKalam-W2,lue,fi,,read,
442,22,KaluKalam-W2,minä luen,fi,,I'm reading,
443,22,KaluKalam-W2,kynä,fi,,a pen,
444,22,KaluKalam-W2,vihko,fi,,note book,
